Дата,Kлики,Показы,CTR,Позиция
2026-07-05,4,1388,0.29%,40.4
2026-07-06,15,1775,0.85%,39.6
2026-07-07,8,685,1.17%,24.9
2026-07-08,6,645,0.93%,23.1
2026-07-09,10,680,1.47%,24.2
2026-07-10,4,553,0.72%,22.1
2026-07-11,3,936,0.32%,37.6
2026-07-12,9,1677,0.54%,42.2
2026-07-13,2,3557,0.06%,41.8
2026-07-14,9,689,1.31%,23
2026-07-15,7,1071,0.65%,31.1
2026-07-16,10,1139,0.88%,36.1
2026-07-17,9,870,1.03%,31.5
2026-07-18,9,909,0.99%,33.9
2026-07-19,11,1309,0.84%,37.1
2026-07-20,8,1306,0.61%,35.7
2026-07-21,5,722,0.69%,24.4
2026-07-22,3,707,0.42%,26.4
2026-07-23,6,566,1.06%,18.1
2026-07-24,4,1006,0.4%,33.6
2026-07-25,7,1574,0.44%,40.6
2026-07-26,7,1480,0.47%,37.8
2026-07-27,7,2539,0.28%,44.5
2026-07-28,6,1593,0.38%,40.9
2026-07-29,4,1719,0.23%,44.7
2026-07-30,8,1390,0.58%,39
2026-07-31,10,1211,0.83%,39.8
2026-08-01,3,559,0.54%,26.9
