Страна,Kлики,Показы,CTR,Позиция
Украина,178,33128,0.54%,37.49
Россия,6,356,1.69%,16.43
Болгария,4,18,22.22%,9.33
Франция,2,20,10%,10.95
Польша,1,103,0.97%,13.36
Неизвестный регион,1,22,4.55%,8.86
Великобритания,1,7,14.29%,35.14
Венгрия,1,5,20%,8
Беларусь,0,111,0%,14.2
Казахстан,0,48,0%,10.35
Германия,0,48,0%,12.19
США,0,46,0%,25.37
Чехия,0,29,0%,7.52
Молдова,0,26,0%,8.62
Грузия,0,21,0%,8.33
Кыргызстан,0,20,0%,6.85
Италия,0,18,0%,8.17
Узбекистан,0,18,0%,8.22
Турция,0,14,0%,15.43
Румыния,0,13,0%,8
Нидерланды,0,12,0%,19.42
Туркменистан,0,10,0%,8.1
Армения,0,10,0%,10.6
Азербайджан,0,10,0%,15.2
Литва,0,9,0%,8.78
Израиль,0,9,0%,8.89
Латвия,0,8,0%,7.75
Испания,0,8,0%,32.5
Греция,0,7,0%,8
Вьетнам,0,7,0%,16
Словакия,0,6,0%,6.83
Португалия,0,6,0%,7.67
Хорватия,0,6,0%,8.33
Ирландия,0,6,0%,8.5
Перу,0,5,0%,6.8
Швеция,0,5,0%,25.8
Кипр,0,4,0%,5.75
Индия,0,4,0%,19.25
Бразилия,0,4,0%,27
Объединенные Арабские Эмираты,0,4,0%,39.5
Таджикистан,0,3,0%,5
Канада,0,3,0%,7
Египет,0,3,0%,8
Швейцария,0,3,0%,8.33
Индонезия,0,2,0%,1
Финляндия,0,2,0%,1.5
Эстония,0,2,0%,7
Австралия,0,2,0%,8
Южная Корея,0,2,0%,8.5
Сербия,0,2,0%,20
Пакистан,0,2,0%,33.5
Албания,0,1,0%,1
Панама,0,1,0%,1
Ирак,0,1,0%,5
Чили,0,1,0%,7
Мексика,0,1,0%,7
Сирия,0,1,0%,9
Австрия,0,1,0%,10
Лихтенштейн,0,1,0%,10
Япония,0,1,0%,11
Уганда,0,1,0%,11
Норвегия,0,1,0%,12
Палестина,0,1,0%,41
Кения,0,1,0%,52
Саудовская Аравия,0,1,0%,53
Нигерия,0,1,0%,66
Уругвай,0,1,0%,68
Никарагуа,0,1,0%,77
Аргентина,0,1,0%,94
