Дата,Kлики,Показы,CTR,Позиция
2026-07-05,34,2394,1.42%,15.9
2026-07-06,40,2888,1.39%,18
2026-07-07,42,2319,1.81%,16.9
2026-07-08,46,2125,2.16%,13.2
2026-07-09,44,2304,1.91%,12.6
2026-07-10,34,2442,1.39%,15
2026-07-11,29,2133,1.36%,10.2
2026-07-12,23,2591,0.89%,15.5
2026-07-13,31,4837,0.64%,23
2026-07-14,42,2420,1.74%,12.8
2026-07-15,29,2874,1.01%,14.7
2026-07-16,25,2461,1.02%,12.9
2026-07-17,28,2927,0.96%,16.5
2026-07-18,34,2449,1.39%,11.6
2026-07-19,34,3319,1.02%,14.6
2026-07-20,40,2934,1.36%,15.4
2026-07-21,40,2497,1.6%,11.6
2026-07-22,21,2614,0.8%,14.1
2026-07-23,32,2217,1.44%,10.2
2026-07-24,54,3024,1.79%,13.2
2026-07-25,34,2589,1.31%,10
2026-07-26,36,2664,1.35%,12.3
2026-07-27,48,2882,1.67%,15.6
2026-07-28,34,4022,0.85%,16.2
2026-07-29,32,2838,1.13%,14
2026-07-30,31,2982,1.04%,15
2026-07-31,29,2581,1.12%,15.6
2026-08-01,36,2297,1.57%,9.8
