Страна,Kлики,Показы,CTR,Позиция
Украина,899,70913,1.27%,15
Россия,30,2736,1.1%,9.16
Польша,9,395,2.28%,6.64
Казахстан,6,223,2.69%,9.02
Узбекистан,4,89,4.49%,7.85
США,3,218,1.38%,10.22
Неизвестный регион,3,106,2.83%,8.08
Молдова,3,88,3.41%,7.35
Беларусь,2,197,1.02%,8.68
Германия,2,174,1.15%,8.9
Кыргызстан,2,74,2.7%,7
Латвия,2,73,2.74%,8
Болгария,2,53,3.77%,8
Словакия,2,37,5.41%,5.76
Израиль,2,32,6.25%,7.28
Азербайджан,2,26,7.69%,9.65
Чехия,1,141,0.71%,6.7
Италия,1,82,1.22%,6.7
Нидерланды,1,65,1.54%,12.29
Румыния,1,39,2.56%,7.54
Турция,1,38,2.63%,6.39
Перу,1,13,7.69%,4.92
Иран,1,9,11.11%,24.33
Марокко,1,4,25%,16
Сирия,1,2,50%,10.5
Франция,0,56,0%,8.12
Грузия,0,52,0%,7.85
Великобритания,0,49,0%,15.35
Испания,0,34,0%,6.76
Швейцария,0,31,0%,10.16
Вьетнам,0,31,0%,15.1
Греция,0,26,0%,6.92
Литва,0,26,0%,8.65
Таиланд,0,26,0%,8.96
Туркменистан,0,22,0%,7.18
Армения,0,21,0%,7.57
Китай,0,20,0%,5.75
Ирландия,0,20,0%,12.3
Швеция,0,17,0%,9.35
Канада,0,17,0%,10.24
Индия,0,17,0%,15.82
Бразилия,0,17,0%,18.41
Бельгия,0,15,0%,4.27
Хорватия,0,15,0%,6.53
Финляндия,0,15,0%,7.47
Аргентина,0,15,0%,20.27
Португалия,0,14,0%,6.43
Объединенные Арабские Эмираты,0,13,0%,6.38
Таджикистан,0,13,0%,7.46
Норвегия,0,12,0%,9.75
Венгрия,0,10,0%,5.8
Эстония,0,10,0%,6.3
Египет,0,9,0%,8
Индонезия,0,9,0%,9.11
Мексика,0,9,0%,9.56
Австрия,0,8,0%,7.62
Сербия,0,7,0%,5.14
Филиппины,0,7,0%,13.14
Кипр,0,7,0%,13.71
Сингапур,0,6,0%,7.5
Нигерия,0,6,0%,33
Дания,0,5,0%,9.8
Черногория,0,5,0%,10
Япония,0,4,0%,9.25
Ирак,0,4,0%,23.25
Албания,0,3,0%,7.33
Исландия,0,3,0%,11.67
Эквадор,0,3,0%,12.67
Словения,0,3,0%,15.67
Тайвань,0,3,0%,16
Колумбия,0,3,0%,16.33
Кения,0,3,0%,20.67
Босния и Герцеговина,0,2,0%,4
Гонконг,0,2,0%,4
Мальта,0,2,0%,5.5
Саудовская Аравия,0,2,0%,5.5
Эфиопия,0,2,0%,7.5
Экваториальная Гвинея,0,2,0%,9
Южная Корея,0,2,0%,10
Гана,0,2,0%,14.5
Южный Судан,0,2,0%,16
Бермуды,0,2,0%,17.5
Вануату,0,2,0%,18.5
Непал,0,2,0%,20
Венесуэла,0,2,0%,20.5
Алжир,0,2,0%,22.5
Пакистан,0,2,0%,24
Габон,0,2,0%,24.5
Камерун,0,2,0%,26
Австралия,0,2,0%,36
Ливан,0,1,0%,3
Мальдивы,0,1,0%,3
Сент-Китс и Невис,0,1,0%,6
Люксембург,0,1,0%,6
Никарагуа,0,1,0%,7
Панама,0,1,0%,7
Западная Сахара,0,1,0%,8
Мавритания,0,1,0%,8
Суринам,0,1,0%,9
Ботсвана,0,1,0%,11
Доминиканская Республика,0,1,0%,11
Тонга,0,1,0%,11
Буркина-Фасо,0,1,0%,12
Барбадос,0,1,0%,12
Уругвай,0,1,0%,12
Йемен,0,1,0%,12
Бенин,0,1,0%,13
Сен-Мартен,0,1,0%,13
Шпицберген и Ян-Майен,0,1,0%,16
Коморские острова,0,1,0%,18
Тринидад и Тобаго,0,1,0%,20
Сент-Винсент и Гренадины,0,1,0%,20
Южная Африка,0,1,0%,20
о. Гернси,0,1,0%,21
Гватемала,0,1,0%,22
Кувейт,0,1,0%,22
Лаос,0,1,0%,22
Маршалловы острова,0,1,0%,23
Северные Марианские острова,0,1,0%,23
Малави,0,1,0%,23
Оман,0,1,0%,24
Кот д’Ивуар,0,1,0%,27
Доминика,0,1,0%,27
Намибия,0,1,0%,27
Уганда,0,1,0%,27
Бангладеш,0,1,0%,28
Чили,0,1,0%,28
Мадагаскар,0,1,0%,28
Свазиленд,0,1,0%,28
Остров Мэн,0,1,0%,29
