Дата,Kлики,Показы,CTR,Позиция
2026-07-05,32,3341,0.96%,16.7
2026-07-06,39,3811,1.02%,19.1
2026-07-07,24,3145,0.76%,18.1
2026-07-08,49,2739,1.79%,12.9
2026-07-09,46,2788,1.65%,14.2
2026-07-10,34,2916,1.17%,16.1
2026-07-11,37,2417,1.53%,11.6
2026-07-12,40,3564,1.12%,17.2
2026-07-13,47,5875,0.8%,22.4
2026-07-14,57,2866,1.99%,13.8
2026-07-15,43,3611,1.19%,15.1
2026-07-16,37,3045,1.22%,14.9
2026-07-17,37,4168,0.89%,23.6
2026-07-18,27,3022,0.89%,14.2
2026-07-19,45,4645,0.97%,18.2
2026-07-20,56,3878,1.44%,20.4
2026-07-21,49,3338,1.47%,13.8
2026-07-22,44,3150,1.4%,14.4
2026-07-23,42,2890,1.45%,11.2
2026-07-24,27,3452,0.78%,17.2
2026-07-25,34,2834,1.2%,11.2
2026-07-26,55,3671,1.5%,14.3
2026-07-27,39,4434,0.88%,18.1
2026-07-28,47,6274,0.75%,16.2
2026-07-29,47,4174,1.13%,12.6
2026-07-30,52,4383,1.19%,15.7
2026-07-31,42,3988,1.05%,14.2
2026-08-01,47,3491,1.35%,9.3
