Страна,Kлики,Показы,CTR,Позиция
Украина,1093,94757,1.15%,16.47
Россия,18,1819,0.99%,12.24
Германия,6,637,0.94%,8.29
Польша,6,392,1.53%,6.88
США,4,628,0.64%,9.57
Неизвестный регион,4,271,1.48%,7.24
Нидерланды,4,231,1.73%,9.75
Чехия,4,225,1.78%,7.53
Молдова,3,129,2.33%,7.91
Италия,2,123,1.63%,6.62
Болгария,2,83,2.41%,6.63
Таиланд,2,71,2.82%,8.49
Норвегия,2,63,3.17%,8.4
Грузия,2,57,3.51%,7.28
Турция,2,55,3.64%,10.62
Ирландия,2,37,5.41%,9.59
Иордания,2,14,14.29%,6.36
Словения,2,7,28.57%,8.29
Великобритания,1,219,0.46%,13.52
Казахстан,1,117,0.85%,8.27
Австрия,1,57,1.75%,8.07
Румыния,1,56,1.79%,8.64
Латвия,1,54,1.85%,9.74
Словакия,1,51,1.96%,7.8
Израиль,1,50,2%,8.76
Бельгия,1,39,2.56%,8.67
Финляндия,1,36,2.78%,6.25
Армения,1,33,3.03%,5.55
Греция,1,24,4.17%,7
Туркменистан,1,24,4.17%,14.25
Азербайджан,1,21,4.76%,8.43
Кипр,1,19,5.26%,6.79
Зимбабве,1,2,50%,8.5
Беларусь,0,252,0%,10.17
Испания,0,109,0%,9.11
Франция,0,94,0%,9.22
Канада,0,63,0%,7.3
Эстония,0,60,0%,8.02
Вьетнам,0,57,0%,12.46
Узбекистан,0,51,0%,7.69
Китай,0,47,0%,7.64
Бразилия,0,42,0%,13.12
Литва,0,41,0%,9.24
Швеция,0,40,0%,10.05
Кыргызстан,0,37,0%,8
Индия,0,31,0%,19.03
Швейцария,0,28,0%,6.64
Индонезия,0,28,0%,10.54
Венгрия,0,26,0%,7.19
Дания,0,26,0%,7.81
Португалия,0,26,0%,9.81
Перу,0,25,0%,10.36
Аргентина,0,20,0%,16.35
Хорватия,0,19,0%,13.05
Сербия,0,16,0%,13
Мексика,0,16,0%,16.06
Нигерия,0,16,0%,33.12
Египет,0,15,0%,10.07
Сингапур,0,14,0%,6.71
Япония,0,14,0%,13.36
Филиппины,0,13,0%,15.38
Колумбия,0,12,0%,12.42
Таджикистан,0,11,0%,7.91
Иран,0,11,0%,13.55
Пакистан,0,10,0%,18.7
Южная Корея,0,9,0%,10.67
Объединенные Арабские Эмираты,0,9,0%,13.11
Тайвань,0,9,0%,14.33
Черногория,0,8,0%,8.12
Албания,0,8,0%,13
Мальта,0,7,0%,5.43
Саудовская Аравия,0,7,0%,14.71
Венесуэла,0,7,0%,23
Камбоджа,0,6,0%,22.5
Марокко,0,5,0%,12
Австралия,0,5,0%,13.6
Гондурас,0,5,0%,17.6
Гренада,0,4,0%,8.5
Южная Африка,0,4,0%,12
Гонконг,0,4,0%,12.25
Сирия,0,3,0%,8.67
Эквадор,0,3,0%,9.33
Монголия,0,3,0%,11.33
Сейшелы,0,3,0%,12
Уругвай,0,3,0%,12.33
Доминиканская Республика,0,3,0%,15
Сент-Винсент и Гренадины,0,3,0%,17
Малайзия,0,3,0%,18.67
Парагвай,0,3,0%,19
Лаос,0,3,0%,20.33
Непал,0,3,0%,20.33
Бангладеш,0,3,0%,21.67
Ирак,0,3,0%,31.67
Панама,0,2,0%,2.5
Тунис,0,2,0%,3
Палестина,0,2,0%,7.5
Йемен,0,2,0%,7.5
Кения,0,2,0%,8
Сомали,0,2,0%,9
Исландия,0,2,0%,10.5
Люксембург,0,2,0%,11.5
Афганистан,0,2,0%,12
Антигуа и Барбуда,0,2,0%,12
Каймановы острова,0,2,0%,14.5
Ямайка,0,2,0%,15
Либерия,0,2,0%,15
Новая Зеландия,0,2,0%,16.5
Гана,0,2,0%,17.5
Сент-Люсия,0,2,0%,18.5
Македония,0,2,0%,19
Чили,0,2,0%,20.5
Коста-Рика,0,2,0%,21
Монсеррат,0,2,0%,24
Никарагуа,0,2,0%,25
Босния и Герцеговина,0,2,0%,28
Ливан,0,2,0%,31.5
Эфиопия,0,2,0%,38
Бруней,0,1,0%,1
Шри-Ланка,0,1,0%,1
Кюрасао,0,1,0%,2
Уоллис и Футуна,0,1,0%,2
Мадагаскар,0,1,0%,5
Мартиника,0,1,0%,5
Боливия,0,1,0%,7
Макау,0,1,0%,7
Руанда,0,1,0%,8
Сент-Китс и Невис,0,1,0%,9
Катар,0,1,0%,9
Американские острова Самоа,0,1,0%,10
Фарерские острова,0,1,0%,10
Намибия,0,1,0%,10
Синт-Мартен,0,1,0%,10
Гамбия,0,1,0%,11
Остров Мэн,0,1,0%,11
Танзания,0,1,0%,11
Коморские острова,0,1,0%,12
Гайана,0,1,0%,12
Мали,0,1,0%,12
Пуэрто-Рико,0,1,0%,12
Экваториальная Гвинея,0,1,0%,14
Тувалу,0,1,0%,14
Буркина-Фасо,0,1,0%,15
Кот д’Ивуар,0,1,0%,16
Маврикий,0,1,0%,16
Сент-Пьер и Микелон,0,1,0%,16
Джибути,0,1,0%,17
Куба,0,1,0%,18
Мальдивы,0,1,0%,18
Палау,0,1,0%,19
Ангилья,0,1,0%,21
Судан,0,1,0%,21
о. Гернси,0,1,0%,22
Токелау,0,1,0%,22
Уганда,0,1,0%,22
Ливия,0,1,0%,23
Сан-Марино,0,1,0%,23
Южный Судан,0,1,0%,23
Свазиленд,0,1,0%,23
Центрально-Африканская Республика,0,1,0%,24
Гренландия,0,1,0%,24
Самoа,0,1,0%,24
Бермуды,0,1,0%,25
